,index,order_id,cust_id,gender,age,date,status,retail_supplier,sku,category,size,qty,currency,amount,ship-city,ship-state,ship-postal-code,ship-country,b2b
0,1,171-1029312-3038738,1029312,W,44,2022-04-12,Delivered,Myntra,JNE1233-BLUE-KR-031-XXL,kurta,XXL,1,INR,376,MOHALI,PUNJAB,140301,IN,False
1,2,405-2183842-2225946,2183842,W,29,2022-04-12,Delivered,Ajio,SET414-KR-NP-L,set,L,1,INR,1449,GURUGRAM,HARYANA,122002,IN,False
2,3,171-1641533-8921966,1641533,W,67,2022-04-12,Delivered,Myntra,SET261-KR-PP-S,set,S,1,INR,453,KOLKATA,WEST BENGAL,700029,IN,False
3,4,404-7490807-6300351,7490807,W,20,2022-04-12,Delivered,Amazon,SET110-KR-PP-M,set,M,1,INR,729,THANJAVUR,TAMIL NADU,613007,IN,False
4,5,403-9293516-4577154,9293516,W,62,2022-04-12,Delivered,Myntra,JNE2294-KR-A-XXL,kurta,XXL,1,INR,544,GURUGRAM,HARYANA,122001,IN,False
5,6,407-1298130-0368305,1298130,M,49,2022-04-12,Delivered,Flipkart,JNE3797-KR-XXL,western dress,XXL,1,INR,735,SANGLI MIRAJ KUPWAD,MAHARASHTRA,416436,IN,False
6,7,407-1298130-0368305,1298130,W,23,2022-04-12,Delivered,Meesho,JNE3801-KR-XXL,kurta,XXL,1,INR,735,BENGALURU,KARNATAKA,560029,IN,False
7,8,171-5561216-3398711,5561216,W,70,2022-04-12,Delivered,Others,JNE3405-KR-M,kurta,M,1,INR,435,GURUGRAM,HARYANA,122001,IN,False
8,9,408-2935263-2935550,2935263,W,75,2022-04-12,Delivered,Amazon,JNE3474-KR-E-XL,kurta,XL,1,INR,385,BENGALURU,KARNATAKA,562149,IN,False
9,10,404-2648970-9042715,2648970,W,43,2022-04-12,Delivered,Myntra,JNE3466-KR-L,kurta,L,1,INR,771,VIJAYAWADA,ANDHRA PRADESH,520002,IN,False
10,11,404-2648970-9042715,2648970,W,76,2022-04-12,Delivered,Amazon,JNE3795-KR-S,kurta,S,1,INR,517,THIRUVANANTHAPURAM,KERALA,695018,IN,False
11,12,404-2648970-9042715,2648970,W,45,2022-04-12,Delivered,Myntra,J0181-TP-M,top,M,1,INR,399,ARAKONAM,TAMIL NADU,631003,IN,False
